IV,DV,C,Other
,,,
TIME (SEC),POINTS,FUEL WEIGHT (LBS),M2 max value is set to 1.5 (m2_max)
290,1.7816091954022988,34,
295,1.768361581920904,34,
60,2,36,
65,2,36,
70,2,36,
75,2,36,
80,2,36,
85,2,36,
90,2,36,
95,2,36,
100,2,36,
105,2,36,
110,2,36,
115,2,36,
120,2,36,
125,2,36,
130,2,36,
135,2,36,
140,2,36,
145,2,36,
150,2,36,
155,2,36,
160,2,36,
165,2,36,
170,2,36,
175,2,36,
180,2,36,
185,2,36,
190,2,36,
195,2,36,
200,2,36,
205,2,36,
210,2,36,
215,2,36,
220,2,36,
225,2,36,
230,2,36,
235,2,36,
240,2.0,36,
245,1.979591836734694,36,
250,1.96,36,
255,1.9411764705882355,36,
260,1.923076923076923,36,
265,1.9056603773584904,36,
270,1.8888888888888888,36,
275,1.8727272727272726,36,
280,1.8571428571428572,36,
285,1.8421052631578947,36,
290,1.8275862068965516,36,
295,1.8135593220338984,36,
60,2,38,
65,2,38,
70,2,38,
75,2,38,
80,2,38,
85,2,38,
90,2,38,
95,2,38,
100,2,38,
105,2,38,
110,2,38,
115,2,38,
120,2,38,
125,2,38,
130,2,38,
135,2,38,
140,2,38,
145,2,38,
150,2,38,
155,2,38,
160,2,38,
165,2,38,
170,2,38,
175,2,38,
180,2,38,
185,2,38,
190,2,38,
195,2,38,
200,2,38,
205,2,38,
210,2,38,
215,2,38,
220,2,38,
225,2,38,
230,2,38,
235,2,38,
240,2,38,
245,2,38,
250,2,38,
255,1.9934640522875817,38,
260,1.9743589743589745,38,
265,1.9559748427672954,38,
270,1.9382716049382718,38,
275,1.9212121212121214,38,
280,1.9047619047619047,38,
285,1.8888888888888888,38,
290,1.8735632183908044,38,
295,1.8587570621468927,38,
60,2,40,
65,2,40,
70,2,40,
75,2,40,
80,2,40,
85,2,40,
90,2,40,
95,2,40,
100,2,40,
105,2,40,
110,2,40,
115,2,40,
120,2,40,
125,2,40,
130,2,40,
135,2,40,
140,2,40,
145,2,40,
150,2,40,
155,2,40,
160,2,40,
165,2,40,
170,2,40,
175,2,40,
180,2,40,
185,2,40,
190,2,40,
195,2,40,
200,2,40,
205,2,40,
210,2,40,
215,2,40,
220,2,40,
225,2,40,
230,2,40,
235,2,40,
240,2,40,
245,2,40,
250,2,40,
255,2,40,
260,2,40,
265,2,40,
270,1.9876543209876543,40,
