IV,C,DV,Other
,,,
TIME (SEC),FUEL WEIGHT (LBS),POINTS,M2 max value is set to 1.5 (m2_max)
285,14,1.327485380116959,
290,14,1.3218390804597702,
295,14,1.3163841807909604,
60,16,2,
65,16,2,
70,16,2,
75,16,2,
80,16,2,
85,16,2,
90,16,2,
95,16,2,
100,16,2,
105,16,2,
110,16,1.9696969696969697,
115,16,1.927536231884058,
120,16,1.8888888888888888,
125,16,1.8533333333333335,
130,16,1.8205128205128207,
135,16,1.7901234567901234,
140,16,1.7619047619047619,
145,16,1.735632183908046,
150,16,1.7111111111111112,
155,16,1.6881720430107525,
160,16,1.6666666666666665,
165,16,1.6464646464646466,
170,16,1.6274509803921569,
175,16,1.6095238095238096,
180,16,1.5925925925925926,
185,16,1.5765765765765765,
190,16,1.5614035087719298,
195,16,1.5470085470085468,
200,16,1.5333333333333332,
205,16,1.5203252032520327,
210,16,1.507936507936508,
215,16,1.496124031007752,
220,16,1.4848484848484849,
225,16,1.474074074074074,
230,16,1.463768115942029,
235,16,1.4539007092198581,
240,16,1.4444444444444444,
245,16,1.435374149659864,
250,16,1.4266666666666667,
255,16,1.4183006535947713,
260,16,1.4102564102564104,
265,16,1.4025157232704402,
270,16,1.3950617283950617,
275,16,1.387878787878788,
280,16,1.380952380952381,
285,16,1.3742690058479532,
290,16,1.367816091954023,
295,16,1.3615819209039548,
60,18,2,
65,18,2,
70,18,2,
75,18,2,
80,18,2,
85,18,2,
90,18,2,
95,18,2,
100,18,2,
105,18,2,
110,18,2,
115,18,2,
120,18,2.0,
125,18,1.96,
130,18,1.923076923076923,
135,18,1.8888888888888888,
140,18,1.8571428571428572,
145,18,1.8275862068965516,
150,18,1.7999999999999998,
155,18,1.774193548387097,
160,18,1.75,
165,18,1.727272727272727,
170,18,1.7058823529411766,
175,18,1.6857142857142855,
180,18,1.6666666666666665,
185,18,1.6486486486486487,
190,18,1.631578947368421,
195,18,1.6153846153846154,
200,18,1.6,
205,18,1.5853658536585367,
210,18,1.5714285714285714,
215,18,1.558139534883721,
220,18,1.5454545454545454,
225,18,1.5333333333333332,
230,18,1.5217391304347827,
235,18,1.5106382978723403,
240,18,1.5,
245,18,1.489795918367347,
250,18,1.48,
255,18,1.4705882352941178,
260,18,1.4615384615384615,
265,18,1.4528301886792452,
270,18,1.4444444444444444,
275,18,1.4363636363636363,
280,18,1.4285714285714286,
285,18,1.4210526315789473,
290,18,1.4137931034482758,
295,18,1.4067796610169492,
60,20,2,
65,20,2,
70,20,2,
75,20,2,
80,20,2,
85,20,2,
90,20,2,
95,20,2,
100,20,2,
105,20,2,
110,20,2,
115,20,2,
120,20,2,
125,20,2,
130,20,2,
135,20,1.9876543209876543,
140,20,1.9523809523809526,
145,20,1.9195402298850577,
150,20,1.8888888888888888,
155,20,1.860215053763441,
160,20,1.8333333333333335,
165,20,1.808080808080808,
170,20,1.784313725490196,
175,20,1.7619047619047619,
180,20,1.740740740740741,
185,20,1.720720720720721,
190,20,1.7017543859649122,
195,20,1.6837606837606836,
200,20,1.6666666666666665,
205,20,1.6504065040650406,
210,20,1.6349206349206349,
215,20,1.62015503875969,
220,20,1.606060606060606,
225,20,1.5925925925925926,
230,20,1.5797101449275361,
235,20,1.5673758865248226,
240,20,1.5555555555555556,
245,20,1.54421768707483,
250,20,1.5333333333333332,
255,20,1.522875816993464,
260,20,1.5128205128205128,
265,20,1.5031446540880502,
270,20,1.4938271604938271,
275,20,1.4848484848484849,
280,20,1.4761904761904763,
285,20,1.4678362573099415,
290,20,1.4597701149425288,
295,20,1.4519774011299436,
60,22,2,
65,22,2,
70,22,2,
75,22,2,
80,22,2,
85,22,2,
90,22,2,
95,22,2,
100,22,2,
105,22,2,
110,22,2,
115,22,2,
120,22,2,
125,22,2,
130,22,2,
135,22,2,
140,22,2,
145,22,2,
150,22,1.9777777777777779,
155,22,1.946236559139785,
160,22,1.9166666666666665,
165,22,1.8888888888888888,
170,22,1.8627450980392157,
175,22,1.8380952380952382,
180,22,1.8148148148148149,
185,22,1.7927927927927927,
190,22,1.7719298245614037,
195,22,1.7521367521367521,
200,22,1.7333333333333334,
205,22,1.7154471544715446,
210,22,1.6984126984126986,
215,22,1.6821705426356588,
220,22,1.6666666666666665,
225,22,1.651851851851852,
230,22,1.63768115942029,
235,22,1.624113475177305,
240,22,1.6111111111111112,
245,22,1.598639455782313,
250,22,1.5866666666666667,
255,22,1.5751633986928106,
260,22,1.564102564102564,
265,22,1.5534591194968552,
270,22,1.5432098765432098,
275,22,1.5333333333333332,
280,22,1.5238095238095237,
285,22,1.5146198830409356,
290,22,1.5057471264367814,
295,22,1.497175141242938,
60,24,2,
65,24,2,
70,24,2,
75,24,2,
80,24,2,
85,24,2,
90,24,2,
95,24,2,
100,24,2,
105,24,2,
110,24,2,
115,24,2,
120,24,2,
125,24,2,
130,24,2,
135,24,2,
140,24,2,
145,24,2,
150,24,2,
155,24,2,
160,24,2.0,
165,24,1.9696969696969697,
170,24,1.9411764705882355,
175,24,1.9142857142857141,
180,24,1.8888888888888888,
185,24,1.864864864864865,
190,24,1.8421052631578947,
195,24,1.8205128205128207,
200,24,1.7999999999999998,
205,24,1.7804878048780486,
210,24,1.7619047619047619,
215,24,1.744186046511628,
220,24,1.727272727272727,
225,24,1.7111111111111112,
230,24,1.6956521739130435,
235,24,1.6808510638297873,
240,24,1.6666666666666665,
245,24,1.6530612244897958,
250,24,1.6400000000000001,
255,24,1.6274509803921569,
260,24,1.6153846153846154,
265,24,1.6037735849056602,
270,24,1.5925925925925926,
275,24,1.5818181818181818,
280,24,1.5714285714285714,
285,24,1.5614035087719298,
290,24,1.5517241379310345,
295,24,1.542372881355932,
60,26,2,
65,26,2,
70,26,2,
75,26,2,
80,26,2,
85,26,2,
90,26,2,
95,26,2,
100,26,2,
105,26,2,
110,26,2,
115,26,2,
120,26,2,
125,26,2,
130,26,2,
135,26,2,
140,26,2,
145,26,2,
150,26,2,
155,26,2,
160,26,2,
165,26,2,
170,26,2,
175,26,1.9904761904761905,
180,26,1.9629629629629628,
185,26,1.9369369369369371,
190,26,1.9122807017543861,
195,26,1.8888888888888888,
200,26,1.8666666666666667,
205,26,1.845528455284553,
210,26,1.8253968253968256,
215,26,1.806201550387597,
